,NAME,COUNTRY,Major teams,Playing role,BATTING_T20Is_Inns,BATTING_T20Is_Runs,BATTING_T20Is_Ave,BATTING_T20Is_100,BATTING_T20Is_50,BOWLING_T20Is_Inns,BOWLING_T20Is_Ave,BOWLING_T20Is_Econ,BOWLING_T20Is_SR
28137,Jasprit Bumrah,India,"['India,', 'Gujarat,', 'India A,', 'India Under-23s,', 'Mumbai Indians']",Bowler,6,8,4.00,0,0,42,20.17,6.71,18.0
28275,Khaleel Ahmed,India,"['India,', 'Delhi Daredevils,', 'India A,', 'India Under-19s,', 'Rajasthan Under-16s,', 'Rajasthan Under-19s,', 'Sunrisers Hyderabad']",Bowler,1,1,-,0,0,9,32.10,9.17,21.0
29635,Ashok Dinda,India,"['India,', 'Bengal,', 'Delhi Daredevils,', 'East Zone,', 'India A,', 'Kolkata Knight Riders,', 'Pune Warriors,', 'Rising Pune Supergiants,', 'Royal Challengers Bangalore']",Bowler,2,22,22.00,0,0,9,14.41,8.16,10.5
29765,Shikhar Dhawan,India,"['India,', 'Deccan Chargers,', 'Delhi,', 'Delhi Daredevils,', 'Delhi Under-16s,', 'India A,', 'Mumbai Indians,', 'Sunrisers Hyderabad']",Opening batsman,49,1310,28.47,0,9,-,-,-,-
30537,Deepak Chahar,India,"['India,', 'Chennai Super Kings,', 'India A,', 'Rajasthan,', 'Rajasthan Royals,', 'Rising Pune Supergiants']",Bowler,-,-,-,-,-,1,43.00,10.75,24.0
32026,Bhuvneshwar Kumar,India,"['India,', 'India A,', 'Pune Warriors,', 'Royal Challengers Bangalore,', 'Sunrisers Hyderabad,', 'Uttar Pradesh']",Bowler,9,23,5.75,0,0,37,25.83,6.97,22.2
32055,Dhawal Kulkarni,India,"['India,', 'Gujarat Lions,', 'India A,', 'India Under-19s,', 'Mumbai,', ""Mumbai Cricket Association President's XI,"", 'Mumbai Indians,', 'Rajasthan Royals']",Bowler,1,1,-,0,0,2,18.33,6.87,16.0
32062,Kuldeep Yadav,India,"['India,', 'Central Zone,', 'India A,', 'India Under-19s,', 'Kolkata Knight Riders,', 'Mumbai Indians,', 'Uttar Pradesh,', 'Uttar Pradesh Under-19s']",Bowler,2,20,20.00,0,0,18,12.97,6.72,11.5
32145,Shreyas Iyer,India,"['India,', 'Delhi Daredevils,', 'India A,', 'India Under-19s,', 'Mumbai,', 'Mumbai Under-19s']",Top-order batsman,5,83,16.60,0,0,-,-,-,-
33018,Kedar Jadhav,India,"['India,', 'Chennai Super Kings,', 'Delhi Daredevils,', 'India A,', 'Kochi Tuskers Kerala,', 'Maharashtra,', 'Royal Challengers Bangalore']",Batting allrounder,6,122,20.33,0,1,-,-,-,-
33132,Dinesh Karthik,India,"['India,', 'Abahani Limited,', 'Albert TUTI Patriots,', 'Delhi Daredevils,', 'Gujarat Lions,', 'ICC World XI,', 'India A,', 'India Blue,', 'India Under-19s,', ""Indian Board President's XI,"", 'Kings XI Punjab,', 'Kolkata Knight Riders,', 'Mumbai Indians,', 'Royal Challengers Bangalore,', 'South Zone,', 'Tamil Nadu']",Wicketkeeper batsman,26,399,33.25,0,0,-,-,-,-
33771,Mohammed Shami,India,"['India,', 'Bengal,', 'Delhi Daredevils,', 'ICC World XI,', 'India A,', 'Kings XI Punjab,', 'Kolkata Knight Riders']",Bowler,-,-,-,-,-,7,31.25,10.56,17.7
34338,Mandeep Singh,India,"['India,', 'India A,', 'India Under-19s,', 'Kings XI Punjab,', 'Kolkata Knight Riders,', 'North Zone,', 'Punjab,', 'Punjab Under-19s,', 'Royal Challengers Bangalore']",Allrounder,3,87,43.50,0,1,-,-,-,-
35900,RP Singh,India,"['India,', 'Deccan Chargers,', 'India A,', 'India Under-19s,', 'Kochi Tuskers Kerala,', 'Leicestershire,', 'Mumbai Indians,', ""Rajasthan Cricket Association President's XI,"", 'Rising Pune Supergiants,', 'Royal Challengers Bangalore,', 'Uttar Pradesh']",Bowler,2,3,-,0,0,9,15.00,6.81,13.2
36800,Rohit Sharma,India,"['India,', 'Deccan Chargers,', 'India A,', 'India Green,', 'India Under-19s,', 'Mumbai,', ""Mumbai Cricket Association President's XI,"", 'Mumbai Indians,', 'Mumbai Under-19s']",Top-order batsman,86,2331,32.37,4,16,9,113.00,9.97,68.0
36821,Rahul Sharma,India,"['India,', 'Chennai Super Kings,', 'Deccan Chargers,', 'Delhi Daredevils,', 'India A,', 'Pune Warriors,', 'Punjab']",Bowler,-,-,-,-,-,2,18.66,7.63,14.6
36965,Yusuf Pathan,India,"['India,', 'Baroda,', 'India A,', 'India Green,', 'Kolkata Knight Riders,', 'Rajasthan Royals,', 'Sunrisers Hyderabad']",Allrounder,18,236,18.15,0,0,17,33.69,8.61,23.4
37115,Vijay Shankar,India,"['India,', 'Chennai Super Kings,', 'Delhi Daredevils,', 'India A,', 'Lyca Kovai Kings,', 'Sunrisers Hyderabad,', 'Tamil Nadu Districts XI']",Allrounder,4,101,25.25,0,0,6,38.20,9.09,25.2
37332,Pragyan Ojha,India,"['India,', 'Bihar,', 'Deccan Chargers,', 'Hyderabad (India),', 'India A,', 'India Red,', 'India Under-19s,', 'Mumbai Indians,', 'South Zone,', 'Surrey']",Bowler,1,10,-,0,0,6,13.20,6.28,12.6
37333,Naman Ojha,India,"['India,', 'Central Zone,', 'Delhi Daredevils,', 'India A,', 'Madhya Pradesh,', 'Rajasthan Royals,', 'Sunrisers Hyderabad']",Wicketkeeper batsman,2,12,6.00,0,0,-,-,-,-
37391,Axar Patel,India,"['India,', 'Delhi Daredevils,', 'Gujarat,', 'India A,', 'India Under-23s,', 'Kings XI Punjab,', 'Mumbai Indians']",Bowling allrounder,7,68,17.00,0,0,11,29.44,6.79,26.0
37569,Parvez Rasool,India,"['India,', 'India A,', 'Jammu & Kashmir,', 'Pune Warriors,', 'Royal Challengers Bangalore,', 'Sunrisers Hyderabad']",Bowling allrounder,1,5,5.00,0,0,1,32.00,8.00,24.0
37986,Rishabh Pant,India,"['India,', 'Delhi,', 'Delhi Daredevils,', 'Delhi Under-19s,', 'India A']",Wicketkeeper batsman,14,233,19.41,0,1,-,-,-,-
38006,Krunal Pandya,India,"['India,', 'Baroda Cricket Association XI,', 'Baroda Under-15s,', 'Baroda Under-17s,', 'Baroda Under-19s,', 'India A,', 'Mumbai Indians']",Allrounder,5,70,23.33,0,0,11,33.09,8.27,24.0
38009,Hardik Pandya,India,"['India,', 'Baroda,', 'India A,', 'Mumbai Indians']",Allrounder,24,296,16.44,0,0,37,25.61,8.31,18.4
38139,Ambati Rayudu,India,"['India,', 'Baroda,', 'Chennai Super Kings,', 'Hyderabad (India),', 'Hyderabad Heroes,', 'ICL India XI,', 'India A,', 'Mumbai Indians']",Middle-order batsman,5,42,10.50,0,0,-,-,-,-
38164,Manish Pandey,India,"['India,', 'India A,', 'Karnataka,', 'Kolkata Knight Riders,', 'Mumbai Indians,', 'Pune Warriors,', 'Royal Challengers Bangalore,', 'South Zone,', 'Sunrisers Hyderabad']",Top-order batsman,23,538,41.38,0,2,-,-,-,-
38631,Sandeep Sharma,India,"['India,', 'India A,', 'India Under-19s,', 'India Under-23s,', 'Kings XI Punjab,', 'Punjab,', 'Punjab Under-19s,', 'Sunrisers Hyderabad']",Bowler,1,1,-,0,0,2,73.00,10.42,42.0
39460,Ajinkya Rahane,India,"['India,', 'India A,', 'India Blue,', 'India Emerging Players,', 'India Under-19s,', 'Mumbai,', 'Mumbai Indians,', 'Rajasthan Royals,', 'Rising Pune Supergiants']",Top-order batsman,20,375,20.83,0,1,-,-,-,-
39549,Sudeep Tyagi,India,"['India,', 'Chennai Super Kings,', 'India A,', 'Sunrisers Hyderabad,', 'Uttar Pradesh']",Bowler,-,-,-,-,-,1,-,10.50,-
39632,Manoj Tiwary,India,"['India,', 'Abahani Limited,', 'Bengal,', 'Bengal Under-19s,', 'Delhi Daredevils,', 'India A,', 'India Green,', 'India Under-19s,', 'Kings XI Punjab,', 'Kolkata Knight Riders,', 'Rising Pune Supergiant']",Batsman,1,15,15.00,0,0,-,-,-,-
39924,Robin Uthappa,India,"['India,', 'India A,', 'India Under-19s,', 'Karnataka,', 'Kolkata Knight Riders,', 'Mumbai Indians,', 'Pune Warriors,', 'Reebok XI,', 'Royal Challengers Bangalore,', 'South Zone']",Batsman,12,249,24.90,0,1,-,-,-,-
39952,Jaydev Unadkat,India,"['India,', 'Delhi Daredevils,', 'India A,', 'India Under-19s,', 'Kolkata Knight Riders,', 'Rajasthan Royals,', 'Rising Pune Supergiant,', 'Royal Challengers Bangalore,', 'Saurashtra,', 'Saurashtra Under-19s']",Bowler,-,-,-,-,-,10,21.50,8.68,14.8
40099,Vinay Kumar,India,"['India,', 'India A,', 'Karnataka,', 'Kochi Tuskers Kerala,', 'Kolkata Knight Riders,', 'Mumbai Indians,', 'Royal Challengers Bangalore,', 'South Zone']",Bowler,1,2,-,0,0,9,24.70,7.84,18.9
41902,Yuvraj Singh,India,"['India,', 'Asia XI,', 'Delhi Daredevils,', 'India A,', 'Kings XI Punjab,', 'Kings XI Punjab,', 'Mumbai Indians,', 'Pune Warriors,', 'Punjab,', 'Royal Challengers Bangalore,', 'Sunrisers Hyderabad,', 'Yorkshire']",Middle-order batsman,51,1177,28.02,0,8,31,17.82,7.06,15.1
